"PRODUCT NAME";PRICE
profit;46.8
agile;0.7
blockchain;0.3
realigned;96.1
operative;45.6
reduced;10.0
leadership;0.2
exuding;82.1
utilisation;64.2
encryption;6.1
streamlined;49.4
versatile;29.1
foreground;12.5
bigdata;9.3
agile;0.7
attitude;17.8
organic;8.6
futurist;0.4
virtual;14.0
focused;84.4
logistical;1.4
synergy;0.1
adapter;74.2
cloned;10.5
optimizing;18.0
operative;76.1
focused;92.4
decentralized;17.7
groupware;63.9
responsive;74.2
composite;94.1
streamlined;34.9
structure;23.4
dynamic;32.7
migration;76.6
firmware;8.2
assimilated;72.7
moratorium;24.3
robust;76.9
secondary;82.9
systemic;16.2
systemic;16.3
systemic;99.9
access;64.2
uniform;5.4
productivity;19.2
monitoring;81.7
focused;49.2
balanced;8.7
groupware;37.4
global;5.0
organized;52.9
dedicated;75.7
total;84.8
capability;57.4
systemic;99.7
motivating;18.1
switchable;88.3
hybrid;63.9
exclusive;67.6
holistic;0.5
logistical;24.9
cohesive;85.1
firmware;55.4
functionalities;86.1
project;31.2
hybrid;23.2
secured;67.7
sharable;39.6
diverse;63.5
productivity;64.7
asymmetric;39.8
innovative;91.2
